barbora_uid,barbora_name,barbora_brand,barbora_size,match_uid,match_name,match_brand,match_size,match_ean,store,similarity,size_diff_pct,tier
f71172df86bbb65f41d68a8e2f05bcc8,"Pealinna EESTI PAGAR teraleib, 390g",EESTI PAGAR,390g,4740086020009,Eesti Pagar Pealinna Teraleib 390 G,Eesti Pagar,390 g,4740086020009,prisma,0.9714,0.0,strong
f77607ee1816b5c5823ddbfde2236339,Näkileivad Original WASA 275g,WASA,275g,7300400118101,"Wasa original rukkinäkileivad, 275 g",Wasa,275 g,7300400118101,prisma,0.8923,0.0,medium
f7c102f9618f1b394b717b5cc5f50f64,Viin ABSOLUT Vodka 40% 1L,ABSOLUT,1L,7312040017034,Absolut vodka 40%vol 1L,Absolut,1 l,7312040017034,prisma,0.875,0.0,medium
f7f3206c7a19006ac26c84131e2ff507,Whisky J.WALKER Red Label 40% 1L,JOHNNIE WALKER,1000,5000267013602,Johnnie Walker Red Label Scotch Whisky 40%vol 1L,Johnnie Walker,1 l,5000267013602,prisma,0.8395,,medium
f81e8cf872428465dde515628b7ece5e,Vein GRAN CASTILLO V.&Chardonnay 3L BIB,GRAN CASTILLO,3L,4740158006429,Gran Castillo Vi&rdonnay vein 11%vol 3L,Gran Castillo,3 l,4740158006429,prisma,0.8205,0.0,medium
f889d414d08c62cda95a93e649eb786e,"Või SAULUTE GoldenGhee selitat.99,9%500g",SAULUTE,500g,4770299397964,"Saulute selitatud või Golden Ghee, 500g",Saulute,500 g,4770299397964,prisma,0.6582,0.0,weak
f90412f05fd7cc0a7361199e9a7b7b6f,Õunamahl AURA 100% 1L,AURA,1000,4740051004294,Aura õunamahl 1L,Aura,1 l,4740051004294,prisma,1.0,,strong
faf77e1496f84e3fffa7917b60cebaa9,Magus apelsininektar AURA 1L,AURA,1L,4740051476985,Aura magus apelsininektar 1L,Aura,1 l,4740051476985,prisma,1.0,0.0,strong
fb20524b531d472c05e105b40eeeaa87,"Jogurt ALMA maasikas-ban. lakt.vaba,900g",ALMA,900g,4740125525311,Alma jogurt maasikas-banaan puuviljadest suhkrutega laktoosivaba 900g,Alma,900 g,4740125525311,prisma,0.6055,0.0,weak
fb2d115ed38f58dbaddb06b88ad3c76b,Tomatimahl PÕLTSAMAA 1L,PÕLTSAMAA,1L,4740029055051,Põltsamaa tomatimahl 100% 1L,Põltsamaa,1 l,4740029055051,prisma,1.0,0.0,strong
fb4836100fb339eecaa7ed0d17271ba3,M.alk.jook HARTWALL Long Drink5.5%330ml,HARTWALL,330ml,6413600207689,Hartwall original long drink alk.vaba 330ml,Hartwall,330 ml,6413600207689,prisma,0.6098,0.0,weak
fbcfaf81d97bd32e3da90596c3a95ff7,"Kodujuust OTTO klassikaline, 440g",PIIMAMEISTER OTTO,440g,4740572004353,"Piimameister Otto Klassikaline kodujuust, 440 g",Piimameister Otto,440 g,4740572004353,prisma,0.9677,0.0,strong
fc02cae070c45ced79a1ba0bcaa91f4a,Külm.lillkapsas ja brokoli MAAHÄRRA 400g,MAAHÄRRA,400g,4740093640139,Maahärra lillkapsas ja brokoli 400 g,Maahärra,400 g,4740093640139,prisma,0.9211,0.0,strong
fcd08821c4d5b68b8f6dd99ef34ab77c,"Täistera röstsepik EESTI PAGAR,500g",Eesti Pagar,500g,4740086018686,Eesti Pagar Tosta Täistera Röstsepik 500 G,Eesti Pagar,500 g,4740086018686,prisma,0.8451,0.0,medium
fcd08821c4d5b68b8f6dd99ef34ab77c,"Täistera röstsepik EESTI PAGAR,500g",Eesti Pagar,500g,4740086016071,Eesti Pagar Täisterasepik 500 G,Eesti Pagar,500 g,4740086016071,prisma,0.7222,0.0,weak
fcf7930652a531dae327728e2921eee6,Õunamahl PÕLTSAMAA 1L,PÕLTSAMAA,1L,4740029055075,Põltsamaa õunamahl 100% 1L,Põltsamaa,1 l,4740029055075,prisma,1.0,0.0,strong
fd3c0e599840c7f08f2c09c9e2efb2cb,Mahlaj. DR. Active Õuna-arbuusi 0.5l,DR. ACTIVE,5l,4740098092551,Dr. Active õuna-arbuusi mahlajook 500ml,Dr. Active,500 ml,4740098092551,prisma,0.8767,90.0,medium
fd7255e4b94e957ddd03a5996b8a5b58,"Juust ZOTT Toasty Sandwich viil., 120g",ZOTT,120g,4014500517940,Zott toasty sandwich sulatatud juust 120 g,Zott,120 g,4014500517940,prisma,0.825,0.0,medium
ff0628a3f1808c99d2fd31a859dea2a9,Karastusjook COCA-COLA 500ml,COCA-COLA,500ml,47402126,Coca-Cola karastusjook 500ml,Coca-Cola,500 ml,47402126,prisma,1.0,0.0,strong
