product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
125433,"Kitsepiim 2,5% UHT, DANMIS, 500 ml",KANPOL AS,,Selver,,,dairy_eggs_fats,dairy_milk,high
125434,"Kohvijook frezza mint, FREZZA, 250 ml",ABESTOCK AS,,"Coop, Selver",,,sweets_snacks,sweets_gums_mints,high
125435,"Kondenspiim šokolaadi, JAANI, 250 g",POLVEN FOODS OÜ,,"Coop, Rimi, Selver",,,sweets_snacks,sweets_chocolate_bars,high
125436,"UHT kohvikoor laktoosivaba, MINUS L, 165 ml",SVENSKY KAUBANDUSE AS,,Selver,,,drinks,drinks_tea_coffee,medium
125437,"Taimne puding kookos-chia laktoosivaba, DEARY, 150 g",DEARY OÜ,,"Barbora, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_plant_drinks,high
125438,"Kohvijook Frezza vanilla, FREZZA, 250 ml",ABESTOCK AS,,Selver,,,drinks,drinks_tea_coffee,medium
125439,"Hele õlu Hefe Weisbier, PAULANER, 500 ml pudel",GOLDBERGER OÜ,,"Rimi, Selver",,,drinks,drinks_beer_cider,high
125440,"Hele õlu Hefeweizen, SCHÖFFERHOFER, 500 ml pudel",AVALLONE AS,,Selver,,,drinks,drinks_beer_cider,high
125441,"Plant protein šokolaadi sojapuding laktoosivaba, ALPRO, 200 g",NUTRICIA SIA,,"Coop, Selver",,,sweets_snacks,sweets_chocolate_bars,high
125442,"Laktoosivaba vahukoor UHT 38%, VALIO, 1 L",VALIO EESTI AS,,Selver,,,dairy_eggs_fats,dairy_cream_sourcream,high
125443,"Kohvijook Ice Latte Macchiato, LÖFBERGS, 230 ml",SELVER AS,,Selver,,,drinks,drinks_tea_coffee,medium
125444,"O´gurt kaeradessert mango laktoosivaba, FRIENDLY VIKING´S, 350 g",ABESTOCK AS,,"Coop, Selver",,,dairy_eggs_fats,dairy_plant_drinks,high
125445,"O´gurt kaeradessert vanilje laktoosivaba, FRIENDLY VIKING´S, 350 g",ABESTOCK AS,,"Coop, Selver",,,dairy_eggs_fats,dairy_plant_drinks,high
125446,"Šokolaadi kaerajook laktoosivaba, OATLY, 1 l",CLUB-MATE EESTI OÜ,,Selver,,,sweets_snacks,sweets_chocolate_bars,high
125447,"Hele õlu Imperial Lager, KRUŚOVICE, 500 ml pudel",TANKER BREWERY OÜ,,"Rimi, Selver",,,drinks,drinks_beer_cider,high
125448,"Hele õlu Kange, SELVER, 2 L",A. LE COQ AS,,Selver,,,drinks,drinks_beer_cider,high
125449,"Hele õlu Karl Friedrich, SAKU, 500 ml pudel",SAKU ÕLLETEHASE AS,,Selver,,,drinks,drinks_beer_cider,high
125450,"Hele õlu Kuld, SAKU, 330 ml pudel",SAKU ÕLLETEHASE AS,,"Rimi, Selver",,,drinks,drinks_beer_cider,high
125451,"Plant protein sojatoode punaste marjadega laktoosivaba, ALPRO, 200 g",NUTRICIA SIA,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_plant_drinks,high
125452,"Plant Protein vaniljejook laktoosivaba, ALPRO, 1 kg",NUTRICIA SIA,,Selver,,,other,other,low
125453,"Vahustatav kaerajook Barista Edition, OATLY, 1 l",CLUB-MATE EESTI OÜ,,Selver,,,dairy_eggs_fats,dairy_plant_drinks,high
125455,"Hele õlu Lager Beer, HEINEKEN, 500 ml purk",TANKER BREWERY OÜ,,"Coop, Rimi, Selver",,,drinks,drinks_beer_cider,high
125456,"Proteiinijogurt creme brulee, VALIO PROFEEL, 200 g",VALIO EESTI AS,,"Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125457,"Hele õlu Original, BUDWEISER, 500 ml pudel",GOLDBERGER OÜ,,Selver,,,drinks,drinks_beer_cider,high
125459,"Proteiinijogurt maasika, VALIO PROFEEL, 200 g",VALIO EESTI AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125460,"Maasikajogurt, DANONKI, 70 g",NUTRICIA SIA,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125461,"Hele õlu Pilsner, SELVER, 2 L",A. LE COQ AS,,Selver,,,drinks,drinks_beer_cider,high
125462,"Kreemjogurt šokolaadipallidega, FANTASIA, 100 g",NUTRICIA SIA,,"Coop, Rimi, Selver",,,sweets_snacks,sweets_chocolate_bars,high
125464,"Täispiimajogurt muraka, ALMA, 350 g",VALIO EESTI AS,,"Barbora, Coop, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125465,"Hele õlu Pilsner, SELVER, 500 ml pudel",A. LE COQ AS,,Selver,,,drinks,drinks_beer_cider,high
125466,"Maitsestamata jogurt, FARMI, 1 kg",FARMI PIIMATÖÖSTUS AS,,"Coop, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125467,"Skyr mustikatega, FARMI, 150 g",FARMI PIIMATÖÖSTUS AS,,"Barbora, Coop, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125468,"Mango-jogurtikreem 5%, SAARE, 400 g",SAAREMAA DELIFOOD OÜ,,"Coop, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125469,"Proteiinijogurtijook troopiline, VALIO PROFEEL, 275 g",VALIO EESTI AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125470,"Hele õlu, PILSNER URQUELL, 500 ml pudel",MOMENTIN EESTI OÜ,,"Rimi, Selver",,,drinks,drinks_beer_cider,high
125471,"Hele õlu Premium 6-pakk, A. LE COQ, 6 x 500 ml pudel",A. LE COQ AS,,"Coop, Selver",,,drinks,drinks_beer_cider,high
125472,"Hele õlu Premium 6-pakk, A. LE COQ, 6 x 500 ml purk",,,Selver,,,drinks,drinks_beer_cider,high
125473,"Hele õlu Premium, A. LE COQ, 500 ml purk",A. LE COQ AS,,"Coop, Selver",,,drinks,drinks_beer_cider,high
125474,"Hele õlu Rock, SAKU, 500 ml pudel",SAKU ÕLLETEHASE AS,,"Coop, Selver",,,drinks,drinks_beer_cider,high
125475,"Hele õlu Special, A. LE COQ, 500 ml pudel",A. LE COQ AS,,"Coop, Selver",,,drinks,drinks_beer_cider,high
