product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
123972,"Kaneel jahvatatud, SANTA MARIA, 210 g",SANTA MARIA AS,,Selver,,,world_spices,spices_herbs_spice_mix,high
123973,"Suitsutatud seakeel, NÕO, 200 g",NÕO LIHATÖÖSTUS OÜ,,"Coop, Selver",,,meat_fish,fish_salted_smoked,high
123974,"Maarahva sült, RANNAROOTSI, 330 g",RANNAROOTSI LIHATÖÖSTUS AS,,Selver,,,meat_fish,meat_other,heuristic
123975,"Kaneel (jahvatatud), SANTA MARIA, 22 g",SANTA MARIA AS,,"Coop, Selver",,,world_spices,spices_herbs_spice_mix,high
123976,"Aprikoosi dzemm, NAOUSSA, 500 g",MAIC KAUBANDUSE AS,,"Coop, Selver",,,other,dry_other,fallback
123977,"Praetud seamaksaribad, KARNI, 150 g",ARKE LIHATÖÖSTUS AS,,Selver,,,meat_fish,meat_other,heuristic
123978,"Kodusült, MAKS&MOORITS, 300 g",ATRIA EESTI AS,,"Coop, Selver",,,other,dry_other,fallback
123979,"Pasteet murulauguga, MAKS&MOORITS, 210 g",ATRIA EESTI AS,,"Rimi, Selver",,,drinks,drinks_tea_coffee,high
123980,"Tüümian potis, GRÜNE FEE, tk",Määramata,,"Coop, Selver",,,other,dry_other,fallback
123981,"Fileetasku juustu- ja singitäidisega, MAKS&MOORITS, 260 g",ATRIA EESTI AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_cheese_slices,high
123982,"Brändi LEGENDA ARMENII 3 YO, 50 cl",LIVIKO AS,,Selver,,,drinks,drinks_spirits,high
123983,"Brändi ROMANCE Hors d'Age XO pet, 50 cl",AVALLONE AS,,Selver,,,drinks,drinks_spirits,high
123984,"Cheddar riivjuust laktoosivaba, E-PIIM, 250 g",E-PIIM TOOTMINE AS,,Selver,,,dairy_eggs_fats,dairy_cheese_slices,high
123985,"Cheddari juustu maitselised kartulikrõpsud, ESTRELLA, 250 g",SELVER AS,,"Rimi, Selver",,,dairy_eggs_fats,dairy_cheese_slices,high
123986,"Cheddari juustu viilud, ALBENIZ, 65 g",DELINE OÜ,,Selver,,,dairy_eggs_fats,dairy_cheese_slices,high
123987,"Chia Seemnetega mahe maapähklivõie, NATTY ORIGINAL, 333g",,,Selver,,,drinks,drinks_spirits,high
123988,"Choco Love A Fair jäätis, BEN&JERRY´S, 402 g",UNILEVER EESTI AS,,Selver,,,frozen_food,frozen_desserts_icecream,high
123989,"Fuetec trühvliga, ELPOZO, 150 g",JUNGENT ESTONIA OÜ,,"Coop, Selver",,,other,dry_other,fallback
123990,"Kaneel jahvatatud, SANTA MARIA, 40 g",SANTA MARIA AS,,"Coop, Selver",,,world_spices,spices_herbs_spice_mix,high
123991,"Mahe Tšillipipar punane, 75 g",Määramata,,Selver,,,world_spices,spices_basic_salt_pepper,high
123992,"Avokaadoõli sprei, MANTOVA, 200 ml",SELVER AS,,Selver,,,sauces_oils,oils_other,high
123993,"Kaneelikoor pakk, SANTA MARIA, 22g",SANTA MARIA AS,,"Coop, Prisma, Selver",,,dairy_eggs_fats,dairy_cream_sourcream,high
123994,"Meliss potis, GRÜNE FEE, tk",Määramata,,"Coop, Selver",,,other,dry_other,fallback
123995,"Chunky Burger kaste, HELLMANN'S, 250 ml",UNILEVER EESTI OÜ,,"Coop, Selver",,,sauces_oils,sauces_other,heuristic
123996,"Coleslaw salat, SELVERI KÖÖK, 2 kg, ettetellimisel",KULINAARIA OÜ,,Selver,,,produce,produce_herbs_salads_sprouts,high
123997,"Paneeritud seašnitsel Fitlap, NÕO, 220 g",NÕO LIHATÖÖSTUS OÜ,,Selver,,,meat_fish,meat_other,heuristic
123998,"Coleslaw salat, SELVERI KÖÖK, 200 g",Määramata,,Selver,,,produce,produce_herbs_salads_sprouts,high
123999,"Kodune sült, KARNI, 500 g",ARKE LIHATÖÖSTUS AS,,"Coop, Selver",,,meat_fish,meat_other,heuristic
124000,"Kardemon jahvatatud, 35g, SANTA MARIA",SANTA MARIA AS,,"Coop, Selver",,,other,dry_other,fallback
124001,"Snäkk pro Chilli pork jerky, RAKVERE LK, 50 g",MAAG EESTI AS,,Selver,,,other,dry_other,fallback
124002,"Cracker Red Pepper, DR. KARG, 85 g",SELVER AS,,Selver,,,other,dry_other,fallback
124003,"Ribisnäkk SNÄKK pro, RAKVERE LK, 300 g",MAAG EESTI AS,,"Coop, Selver",,,meat_fish,meat_pork,high
124004,"Põdramaksa pasteet, LINNAMÄE LIHATÖÖSTUS, 200 g",LINNAMÄE LIHATÖÖSTUS AS,,Selver,,,drinks,drinks_tea_coffee,high
124005,"Kardemoni seemned, MEIRA, 8 g",MEIRA EESTI OÜ,,Selver,,,sweets_snacks,sweets_nuts_driedfruit,high
124006,"Croissant aprikoosi täidisega, SELVERI PAGARID, 75 g",MANTINGA EESTI OÜ,,Selver,,,bakery,bakery_buns_croissants,high
124007,"Sealihasült, RANNAROOTSI, 700 g",RANNAROOTSI LIHATÖÖSTUS AS,,Selver,,,meat_fish,meat_pork,high
124008,"Karri 0% soola, MEIRA, 25 g",MEIRA EESTI OÜ,,Selver,,,world_spices,spices_basic_salt_pepper,high
124009,"Dallase saiake, SELVERI PAGARID, 90 g",SELVER AS,,Selver,,,bakery,bakery_buns_croissants,high
124010,"Prosciutto crudo musta pipraga, SAN MICHELE, 90 g",DELINE OÜ,,Selver,,,other,dry_other,fallback
124011,"Prosciutto crudo maitsestatud rosmariiniga, SAN MICHELE, 90 g",DELINE OÜ,,Selver,,,other,dry_other,fallback
124012,"Suitsukana pooltiib, TALLEGG, 600 g",MAAG EESTI AS,,"Coop, Prisma, Selver",,,meat_fish,meat_poultry,high
124013,"Karri, FIRST PRICE, 90 g",SELVER AS,,Selver,,,other,dry_other,fallback
124014,"Vinnutatud veiseliha Teriyaki, BEEF JERKY, 50 g",PINUS AS,,Selver,,,world_spices,spices_asian,high
124015,"Suitsukont, RANNAROOTSI, kg",RANNAROOTSI LIHATÖÖSTUS AS,,Selver,,,meat_fish,fish_salted_smoked,high
