product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence,final_food_group,final_sub_code,final_confidence,change_reason,source_file
417515,Maitsestatud veed,,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417518,"Külm.pelmeenid smile factory GERMES,500g",,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417519,Külm.pitsa salaami&choriz.FELICIANA 320g,,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417520,Muu piir.jook PIPRA KIBE NAPS 35% 500ml,,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417532,"Külm.pannkoogid lihaga EXTRA LINE, 400g",,,"Barbora, Maxima",,,meat_fish,meat_other,heuristic,meat_fish,meat_other,heuristic,,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417534,"Jäät.karam.&päh.topsis SUPER VIVA, 95g",,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417535,Jaat Maas Vanil Topsis Super Viva 98 G,,,,,,other,dry_other,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417539,"Külm.hinkaalid RANNAROOTSI, 420g",RANNAROOTSI,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417543,"Külm.köögivil.segu Go Green BAUER,400g",BAUER,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417544,"Külm.köögivil.segu Rooma suvi BAUER,400g",BAUER,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417545,"Külm.köögivil.segu Vahemere BAUER,400g",BAUER,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417548,Liköör VANA TALLINN 40% 500ml,,,"Barbora, Maxima",,,other,dry_other,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417550,"Külm.köögiviljas.Tervist HÄRMAVILI,400g",HÄRMAVILI,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417551,"Salaami traditsiooniline MATSIMOKA,150g",,,,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417552,"Külmutatud mehhiko segu WELL DONE, 400g",,,"Barbora, Maxima",,,frozen_food,frozen_other,heuristic,frozen_food,frozen_other,heuristic,,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417561,"Külm.krabisõrad VICI surimi pulgal,245g",,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417566,KPN kv.vah. FREIXENET Semi Seco 750ml,,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417569,Külm. pitsa Diavola RISTORANTE 350g,DR.OETKER,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
